,Name,Link
966,Designing the Future of Work (UNSW Sydney (The University of New South Wales)),https://coursera.org/learn/designing-future-of-work
967,Designing the Organization: From Strategy to Organizational Structure (University of Illinois at Urbana-Champaign),https://coursera.org/learn/designing-organization
968,"Designing, Running, and Analyzing Experiments (University of California San Diego)",https://coursera.org/learn/designexperiments
969,Detección de objetos (Universitat Autònoma de Barcelona),https://coursera.org/learn/deteccion-objetos
970,Detecting and Mitigating Cyber Threats and Attacks (University of Colorado System),https://coursera.org/learn/detecting-cyber-attacks
971,"DevOps Culture and Mindset (University of California, Davis)",https://coursera.org/learn/devops-culture-and-mindset
972,Develop and Deploy Windows Applications on Google Cloud Platform (Google Cloud),https://coursera.org/learn/develop-windows-apps-gcp
973,Developing AI Applications on Azure (LearnQuest),https://coursera.org/learn/developing-ai-applications-azure
974,Developing An Entrepreneurial Mindset: First Step Towards Success (Michigan State University),https://coursera.org/learn/entrepreneurial-mindset
975,Developing Android Apps with App Inventor (The Hong Kong University of Science and Technology),https://coursera.org/learn/app-inventor-android
976,Developing Data Products (Johns Hopkins University),https://coursera.org/learn/data-products
977,Developing FPGA-accelerated cloud applications with SDAccel: Practice (Politecnico di Milano),https://coursera.org/learn/fpga-sdaccel-practice
978,Developing FPGA-accelerated cloud applications with SDAccel: Theory (Politecnico di Milano),https://coursera.org/learn/fpga-sdaccel-theory
979,"Developing Innovative Ideas for New Companies: The First Step in Entrepreneurship (University of Maryland, College Park)",https://coursera.org/learn/innovative-ideas
980,Developing Your Musicianship (Berklee College of Music),https://coursera.org/learn/develop-your-musicianship
981,Developing Your Musicianship: Final Project (Berklee College of Music),https://coursera.org/learn/musicianship-final-project
982,Developing a Systems Mindset (University of Colorado Boulder),https://coursera.org/learn/systems-mindset
983,"Developing the Opportunity for Corporate Entrepreneurs (University of Maryland, College Park)",https://coursera.org/learn/corporate-entrepreneurs-opportunity
984,Development of Real-Time Systems (EIT Digital ),https://coursera.org/learn/real-time-systems
985,"Devenir entrepreneur du changement (HEC Paris, Ticket for Change)",https://coursera.org/learn/entrepreneur-changement
986,Device-based Models with TensorFlow Lite (deeplearning.ai),https://coursera.org/learn/device-based-models-tensorflow
987,Diabetes - a Global Challenge (University of Copenhagen),https://coursera.org/learn/diabetes
988,Diabetes – the Essential Facts (University of Copenhagen),https://coursera.org/learn/diabetes-essential-facts
989,Diagnosing Health Behaviors for Global Health Programs (Johns Hopkins University),https://coursera.org/learn/health-behaviors-global
990,Differential Equations for Engineers (The Hong Kong University of Science and Technology),https://coursera.org/learn/differential-equations-engineers
991,Digital Analytics for Marketing Professionals: Marketing Analytics in Practice (University of Illinois at Urbana-Champaign),https://coursera.org/learn/digital-analytics
992,Digital Analytics for Marketing Professionals: Marketing Analytics in Theory (University of Illinois at Urbana-Champaign),https://coursera.org/learn/marketing-analytics
993,Digital Business Models (Lund University),https://coursera.org/learn/digital-business-models
994,Digital Competition in Financial Services (Copenhagen Business School),https://coursera.org/learn/digital-competition-financial-services
995,Digital Footprint (The University of Edinburgh),https://coursera.org/learn/digital-footprint
996,"Digital Manufacturing & Design (University at Buffalo, The State University of New York)",https://coursera.org/learn/digital-manufacturing-design
997,Digital Marketing Capstone (University of Illinois at Urbana-Champaign),https://coursera.org/learn/digital-marketing-capstone
998,Digital Media and Marketing Principles (University of Illinois at Urbana-Champaign),https://coursera.org/learn/marketing-channels
999,Digital Media and Marketing Strategies (University of Illinois at Urbana-Champaign),https://coursera.org/learn/marketing-plan
1000,Digital Product Management: Modern Fundamentals (University of Virginia),https://coursera.org/learn/uva-darden-digital-product-management
1001,Digital Signal Processing (École Polytechnique Fédérale de Lausanne),https://coursera.org/learn/dsp
1002,Digital Systems: From Logic Gates to Processors (Universitat Autònoma de Barcelona),https://coursera.org/learn/digital-systems
1003,"Digital Thread: Components (University at Buffalo, The State University of New York)",https://coursera.org/learn/digital-thread-components
1004,"Digital Thread: Implementation (University at Buffalo, The State University of New York)",https://coursera.org/learn/digital-thread-implementation
1005,"Digital Transformation (BCG, University of Virginia)",https://coursera.org/learn/bcg-uva-darden-digital-transformation
1006,Digital Transformation of Financial Services - Capstone Project (Copenhagen Business School),https://coursera.org/learn/digital-transformation-financial-services-project
1007,Digital Transformations (Indian School of Business),https://coursera.org/learn/digital-transformations
1008,Dino 101: Dinosaur Paleobiology (University of Alberta),https://coursera.org/learn/dino101
1009,Diode - pn Junction and Metal Semiconductor Contact (University of Colorado Boulder),https://coursera.org/learn/diode-pn-junction-metal-semiconductor-contact
1010,Disability Awareness and Support (University of Pittsburgh),https://coursera.org/learn/disability-awareness
1011,Disability Inclusion in Education: Building Systems of Support (University of Cape Town),https://coursera.org/learn/disability-inclusion-education
1012,Disaster Preparedness (University of Pittsburgh),https://coursera.org/learn/disaster-preparedness
1013,Disaster Risk Management and Korean Policies (Yonsei University),https://coursera.org/learn/disaster-risk-management-korean-policies
1014,Discover Best Practice Farming for a Sustainable 2050 (University of Western Australia),https://coursera.org/learn/best-practice-farming-sustainable-2050
1015,Discrete Math and Analyzing Social Graphs (National Research University Higher School of Economics),https://coursera.org/learn/discrete-math-and-analyzing-social-graphs
1016,Discrete Mathematics (Shanghai Jiao Tong University),https://coursera.org/learn/discrete-mathematics
1017,Discrete Optimization (The University of Melbourne),https://coursera.org/learn/discrete-optimization
1018,Disease Clusters (Johns Hopkins University),https://coursera.org/learn/disease-clusters
1019,"Disease Screening in Public Health (University of Geneva, University of Lausanne)",https://coursera.org/learn/screening
1020,Diseñando páginas web con Bootstrap 4 (Universidad Austral),https://coursera.org/learn/disenando-paginas-bootstrap4
1021,Diseñando una estrategia de negocios en América Latina (Tecnológico de Monterrey),https://coursera.org/learn/disenando-estrategia-negocio-america-latina
1022,Diseño de Experiencia en Servicios (Universidad Austral),https://coursera.org/learn/diseno-experiencia-servicios
1023,Diseño de Videojuegos: Una introducción (Universidad de los Andes),https://coursera.org/learn/diseno-videojuegos-intro
1024,Diseño de proyectos para promover el bienestar (Universidad de los Andes),https://coursera.org/learn/diseno-proyectos-promocion-bienestar
1025,Diseño de videojuegos (Universitat Autònoma de Barcelona),https://coursera.org/learn/videojuegos-diseno
1026,Diseño instruccional para el aprendizaje activo (Tecnológico de Monterrey),https://coursera.org/learn/aprendizaje-activo
1027,Diseño y Creación de un Emprendimiento Social (Pontificia Universidad Católica de Chile),https://coursera.org/learn/emprendimiento-social-negocios-sustentable-canvas-sociales
1028,Diseño y creación de videojuegos: proyecto final (Universitat Autònoma de Barcelona),https://coursera.org/learn/videojuegos-capstone
