,Name,Url,Rating,Difficulty,Tags
9,Introduction to Climate Change and Health,https://coursera.org/learn/introduction-climate-change-health,4.7,Beginner Level,"['Health', 'Public Health']"
0,Экономика предприятия,https://coursera.org/learn/ekonomika-predpriyatiya,4.5,None,"['Business', 'Business Essentials']"
1,Organic Solar Cells - Theory and Practice,https://coursera.org/learn/solar-cell,4.6,None,"['Physical Science and Engineering', 'Chemistry']"
2,Introducción a la Calidad,https://coursera.org/learn/gestion-de-productividad,4.6,None,"['Business', 'Business Strategy']"
3,Analytic Combinatorics,https://coursera.org/learn/analytic-combinatorics,4.7,Intermediate Level,"['Math and Logic', 'Math and Logic']"
4,Supply chain management: Be global,https://coursera.org/learn/supply-chain-management-global,4.8,Beginner Level,"['Business', 'Business Strategy']"
5,Практики управленческой аналитики в MS Excel,https://coursera.org/learn/praktiki-upravlencheskoy-analitiki-excel,4.8,Intermediate Level,"['Business', 'Business Essentials']"
6,Introducción al mundo de las negociaciones,https://coursera.org/learn/estrategias-de-negociacion,4.8,None,"['Business', 'Business Essentials']"
7,Desenvolvimento Ágil com Padrões de Projeto,https://coursera.org/learn/desenvolvimento-agil-com-padroes-de-projeto,4.7,Intermediate Level,"['Computer Science', 'Software Development']"
8,CAPSTONE: Your Leadership Challenge,https://coursera.org/learn/leadership-challenge,4.5,None,"['Business', 'Leadership and Management']"
9,Learning Chinese : Start From Scratch (零到一學中文),https://coursera.org/learn/learn-chinese-mandarin,4.5,Beginner Level,"['Language Learning', 'Other Languages']"
0,Foundations of Teaching for Learning: Planning for Teaching and Learning,https://coursera.org/learn/teaching-plan,4.8,None,"['Social Sciences', 'Education']"
1,"The Modern World, Part One: Global History from 1760 to 1910",https://coursera.org/learn/modern-world,4.8,Beginner Level,"['Arts and Humanities', 'History']"
2,Effective Problem-Solving and Decision-Making,https://coursera.org/learn/problem-solving,4.3,None,"['Business', 'Business Essentials']"
3,Health for All Through Primary Health Care,https://coursera.org/learn/health-for-all,4.7,None,"['Health', 'Patient Care']"
4,Обобщенные линейные модели,https://coursera.org/learn/obobshchennye-linejnye-modeli,None,Intermediate Level,"['Data Science', 'Probability and Statistics']"
5,Introduction to Complex Analysis,https://coursera.org/learn/complex-analysis,4.8,Intermediate Level,"['Math and Logic', 'Math and Logic']"
6,Organizational Design and Management,https://coursera.org/learn/organizational-design-management,4.7,Beginner Level,"['Business', 'Business Strategy']"
7,Internet of Things: Communication Technologies,https://coursera.org/learn/internet-of-things-communication,4.5,None,"['Computer Science', 'Computer Security and Networks']"
8,Global Environmental Management,https://coursera.org/learn/global-environmental-management,4.6,Intermediate Level,"['Physical Science and Engineering', 'Environmental Science and Sustainability']"
9,K-12 Blended & Online Learning,https://coursera.org/learn/k-12-online-education,4.7,None,"['Social Sciences', 'Education']"
0,Inglés Empresarial: Gestión y Liderazgo,https://coursera.org/learn/ingles-empresarial-gestion-liderazgo,4.7,None,"['Language Learning', 'Learning English']"
1,خيارات لسانية لمحترفي الإعلام باللغة العربية,https://coursera.org/learn/arabic-for-media,4.9,Beginner Level,"['Language Learning', 'Learning English']"
2,Introduction to Deep Learning,https://coursera.org/learn/intro-to-deep-learning,4.6,Advanced Level,"['Data Science', 'Machine Learning']"
3,Creative Writing: The Craft of Style,https://coursera.org/learn/craft-of-style,4.7,None,"['Arts and Humanities', 'Music and Art']"
4,Брендинг в инновациях - новая коммуникационная реальность,https://coursera.org/learn/brending-v-innovaciyah,5,None,"['Business', 'Marketing']"
5,Recommender Systems:  Evaluation and Metrics,https://coursera.org/learn/recommender-metrics,4.3,None,"['Data Science', 'Machine Learning']"
6,Giving 2.0: The MOOC,https://coursera.org/learn/philanthropist,4.6,None,"['Business', 'Business Strategy']"
7,Lesson | Business English Skills: Introducing Yourself in Business Settings,https://coursera.org/learn/lesson-business-english-skills-introducing-yourself-in-business-settings,None,Intermediate Level,"['Language Learning', 'Learning English']"
8,Survey analysis to Gain Marketing Insights,https://coursera.org/learn/survey-analysis-marketing-insights,4.4,None,"['Business', 'Marketing']"
9,Construction Project Management,https://coursera.org/learn/construction-project-management,4.8,Beginner Level,"['Business', 'Business Strategy']"
0,Ignite Your Everyday Creativity,https://coursera.org/learn/ignite-creativity,4.4,None,"['Personal Development', 'Personal Development']"
1,Logic for Economists,https://coursera.org/learn/logic-for-economists,4.4,Advanced Level,"['Math and Logic', 'Math and Logic']"
2,"Introduction to the Nonprofit Sector, Nonprofit Organizations, Nonprofit Leadership and Governance",https://coursera.org/learn/nonprofit-organizations,4.4,None,"['Business', 'Leadership and Management']"
3,Negocios Internacionales I,https://coursera.org/learn/negocios-internacionales,4.7,None,"['Business', 'Business Strategy']"
4,Физика в опытах. Часть 3. Колебания и молекулярная физика,https://coursera.org/learn/molekulyarnaya-fizika,4.8,None,"['Physical Science and Engineering', 'Physics and Astronomy']"
5,Mathematical Biostatistics Boot Camp 1,https://coursera.org/learn/biostatistics,4.5,None,"['Math and Logic', 'Math and Logic']"
6,Introduction to Research for Essay Writing,https://coursera.org/learn/introduction-to-research-for-essay-writing,4.7,None,"['Arts and Humanities', 'Music and Art']"
7,Intelligence Tools for the Digital Age,https://coursera.org/learn/intelligence-tools-digital-age,4.6,Beginner Level,"['Business', 'Leadership and Management']"
8,Tinkering Fundamentals: Circuits,https://coursera.org/learn/tinkering-circuits,4.7,Beginner Level,"['Personal Development', 'Personal Development']"
9,Marketing Internacional en Asia,https://coursera.org/learn/marketing-internacional-asia,4.8,Beginner Level,"['Business', 'Marketing']"
0,Foundations of Public Health Practice: Behaviour & Behaviour Change,https://coursera.org/learn/behaviour-change-in-public-health,None,Advanced Level,"['Health', 'Public Health']"
1,"Designing, Running, and Analyzing Experiments",https://coursera.org/learn/designexperiments,3.7,Intermediate Level,"['Computer Science', 'Design and Product']"
2,Контекстная реклама. Google AdWords,https://coursera.org/learn/kontextnaya-reklama-google-adwords,4.6,Intermediate Level,"['Business', 'Marketing']"
3,Valuation for Startups Using Multiple Approach,https://coursera.org/learn/valuation-multiples,4.2,Beginner Level,"['Business', 'Finance']"
4,Gestion et Politique de l'eau,https://coursera.org/learn/gestion-eau,4.6,None,"['Social Sciences', 'Law']"
5,"Бизнес-процессы, организационное проектирование, механизмы и системы управления",https://coursera.org/learn/systems-engineering-4,4.3,Intermediate Level,"['Business', 'Leadership and Management']"
6,Administração Financeira,https://coursera.org/learn/administracao-financeira,4.8,Beginner Level,"['Business', 'Finance']"
7,"Global Postharvest Loss Prevention: Fundamentals, Technologies, and Actors",https://coursera.org/learn/postharvest,4.8,Beginner Level,"['Physical Science and Engineering', 'Environmental Science and Sustainability']"
8,Blockchain Platforms,https://coursera.org/learn/blockchain-platforms,4.6,Intermediate Level,"['Computer Science', 'Software Development']"
9,Invitation to Mathematics     הזמנה למתמטיקה,https://coursera.org/learn/introduction-to-math,4.5,None,"['Math and Logic', 'Math and Logic']"
0,Человеческий фактор в разработке корпоративных систем,https://coursera.org/learn/chelovecheskiy-faktor-razrabotke-korporativnykh-sistem,None,None,"['Business', 'Leadership and Management']"
1,Креативная коммуникация: методы и инструменты,https://coursera.org/learn/kreativnaya-kommunikatsiya,4.7,Advanced Level,"['Arts and Humanities', 'Music and Art']"
2,Creating New BigQuery Datasets and Visualizing Insights,https://coursera.org/learn/gcp-creating-bigquery-datasets-visualizing-insights,4.6,Beginner Level,"['Information Technology', 'Data Management']"
3,Mindware: Critical Thinking for the Information Age,https://coursera.org/learn/mindware,4.7,Beginner Level,"['Health', 'Psychology']"
